No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume,>2000 (2 bil)
1877,FLO,"Flowers Foods, Inc",Consumer Defensive,Packaged Foods,USA,3371.88,14.86,15.97,-0.0075,1966232,Yes
1882,FLR,Fluor Corporation,Industrials,Engineering & Construction,USA,7098.69,1.81,43.91,0.0645,6989139,Yes
1884,FLS,Flowserve Corp,Industrials,Specialty Industrial Machinery,USA,7033.47,24.39,53.78,-0.0079,1491796,Yes
1886,FLUT,Flutter Entertainment Plc,Consumer Cyclical,Gambling,USA,54234.35,106.08,306.95,0.0081,2708365,Yes
1893,FMC,FMC Corp,Basic Materials,Agricultural Inputs,USA,4585.5,46.6,36.71,-0.0299,2044256,Yes
1896,FMS,Fresenius Medical Care AG ADR,Healthcare,Medical Care Facilities,Germany,13802.24,19.17,23.52,-0.0369,467846,Yes
1897,FMX,Fomento Economico Mexicano S.A.B. de C.V. ADR,Consumer Defensive,Beverages - Brewers,Mexico,18156.26,32.35,88.18,-0.0111,640291,Yes
1898,FN,Fabrinet,Technology,Electronic Components,Cayman Islands,11911.9,37.05,332.45,0.0133,496548,Yes
1899,FNB,F.N.B. Corp,Financial,Banks - Regional,USA,5357.52,11.56,14.89,-0.0133,4700939,Yes
1901,FND,Floor & Decor Holdings Inc,Consumer Cyclical,Home Improvement Retail,USA,8586.24,40.9,79.73,-0.0343,1479704,Yes
1908,FNF,Fidelity National Financial Inc,Financial,Insurance - Specialty,USA,15975.8,14.37,58.17,0.0014,1536601,Yes
1915,FNV,Franco-Nevada Corporation,Basic Materials,Gold,Canada,32952.78,53.37,171.05,-0.0001,460528,Yes
1919,FOLD,Amicus Therapeutics Inc,Healthcare,Biotechnology,USA,2136.1,,6.93,-0.0086,3926265,Yes
1922,FORM,FormFactor Inc,Technology,Semiconductor Equipment & Materials,USA,2128.85,49.08,27.62,-0.0522,1194083,Yes
1925,FOUR,Shift4 Payments Inc,Technology,Software - Infrastructure,USA,7194.52,30.46,82.2,-0.0489,5204809,Yes
1926,FOX,Fox Corporation,Communication Services,Entertainment,USA,23276.01,10.08,49.5,-0.0114,1739425,Yes
1927,FOXA,Fox Corporation,Communication Services,Entertainment,USA,23248.08,11.04,54.2,-0.0126,5175655,Yes
1936,FR,"First Industrial Realty Trust, Inc",Real Estate,REIT - Industrial,USA,6573.48,23.55,48.16,-0.0121,555393,Yes
1941,FRHC,Freedom Holding Corp,Financial,Financial Conglomerates,Kazakhstan,11637.64,133.83,190.14,0.0074,142328,Yes
